id,name,gender,age,hukou,residence,employment,industry,monthly_income,emotion,stress,econ_security,city_identity,policy_sensitivity,platform_dependence,risk_preference,voice_propensity,mobility_intent
1,闫嘉,女,6,本地,半山·自住房,,,,0.40,0.38,0.50,0.50,0.55,0.73,0.63,0.36,0.70
2,高安萱,女,13,外省,慈雲山·改造社区,,,,0.47,0.53,0.41,0.50,0.52,0.26,0.57,0.38,0.63
3,周嘉平,男,25,外省,幻想世界·居住区,,,,0.56,0.48,0.75,0.41,0.49,0.58,0.36,0.56,0.60
4,陆娜,女,7,本地,橫頭磡·老小区,,,,0.63,0.57,0.51,0.31,0.44,0.46,0.54,0.38,0.72
5,熊健昊,男,37,外省,大坑·合租,,,,0.61,0.58,0.44,0.54,0.60,0.45,0.40,0.50,0.76
6,邓帆,男,52,本地,花園道·老小区,,,,0.63,0.74,0.20,0.36,0.39,0.73,0.57,0.44,0.45
7,侯香野,女,28,省内,香港仔·改造社区,,,,0.65,0.38,0.15,0.48,0.25,0.49,0.26,0.42,0.66
8,冯知承,男,13,外省,慈雲山·改造社区,,,,0.51,0.65,0.37,0.19,0.40,0.64,0.58,0.42,0.46
9,向华嘉,男,38,本地,欣澳·居住区,,,,0.58,0.53,0.31,0.53,0.58,0.71,0.33,0.61,0.60
10,程子月,女,62,外省,石澳·改造社区,,,,0.66,0.46,0.71,0.56,0.47,0.43,0.52,0.49,0.72
11,刘韵,女,14,外省,炮台山·老小区,,,,0.94,0.36,0.59,0.35,0.35,0.51,0.44,0.46,0.92
12,向勇昊,男,22,省内,橫頭磡·老小区,,,,0.52,0.61,0.30,0.38,0.36,0.54,0.48,0.42,0.78
13,付辉初,男,26,省内,慈雲山·改造社区,,,,0.64,0.39,0.46,0.53,0.64,0.67,0.66,0.66,0.47
14,严亮,男,38,省内,美國小鎮大街·社区,,,,0.57,0.63,0.54,0.30,0.48,0.39,0.24,0.33,0.60
15,钟杰,男,38,省内,黃竹坑·老小区,,,,0.66,0.56,0.65,0.27,0.46,0.29,0.32,0.59,0.67
16,杜瑶宁,女,53,本地,西灣河·居住区,,,,0.59,0.58,0.55,0.42,0.61,0.30,0.49,0.62,0.41
17,卢轩承,男,27,外省,茅湖仔·改造社区,,,,0.59,0.56,0.58,0.37,0.44,0.52,0.31,0.36,0.71
18,何峰伟,男,53,本地,炮台山·社区,,,,0.49,0.66,0.27,0.75,0.41,0.30,0.44,0.51,0.10
19,闫伟坤,男,75,本地,澳仔·商品房,,,,0.57,0.60,0.45,0.67,0.45,0.34,0.36,0.52,0.24
20,林荷莹,女,22,本地,半山·自住房,,,,0.72,0.54,0.49,0.48,0.28,0.63,0.61,0.47,0.27
21,孔泽明,男,62,本地,榕樹灣·自住房,,,,0.61,0.58,0.52,0.49,0.35,0.51,0.35,0.56,0.22
22,田瑾平,女,29,外省,梅子林村·合租,,,,0.60,0.41,0.59,0.33,0.68,0.56,0.69,0.36,0.66
23,于平,男,20,外省,天后·居住区,,,,0.65,0.56,0.31,0.30,0.67,0.59,0.45,0.66,0.71
24,汤锐然,男,11,本地,幻想世界·居住区,,,,0.53,0.61,0.47,0.71,0.59,0.57,0.35,0.21,0.68
25,石梅露,女,88,本地,大坑·合租,,,,0.59,0.67,0.47,0.66,0.37,0.17,0.26,0.61,0.22
26,程岑,女,43,省内,跑馬地·自住房,,,,0.56,0.51,0.83,0.31,0.54,0.31,0.63,0.51,0.68
27,丁望昊,男,40,外省,石硤尾·青年公寓,,,,0.73,0.60,0.65,0.45,0.58,0.41,0.53,0.35,0.63
28,秦望露,女,7,外省,橫頭磡·老小区,,,,0.46,0.56,0.41,0.21,0.38,0.60,0.52,0.34,0.89
29,钟文,男,70,外省,石澳·商品房,,,,0.66,0.49,0.20,0.42,0.42,0.54,0.53,0.35,0.30
30,蒋妍露,女,21,外省,橫頭磡·老小区,,,,0.62,0.58,0.44,0.41,0.61,0.57,0.40,0.60,0.76
31,谭涵,女,39,外省,幻想世界·居住区,,,,0.64,0.36,0.54,0.26,0.45,0.30,0.41,0.61,0.66
32,沈韵川,女,63,本地,榕樹灣·自住房,,,,0.51,0.53,0.39,0.46,0.57,0.46,0.11,0.30,0.44
33,高然,男,21,外省,魷魚灣村·青年公寓,,,,0.46,0.70,0.48,0.36,0.41,0.71,0.46,0.48,0.80
34,汪晨,男,52,本地,葵涌·居住区,,,,0.76,0.56,0.53,0.70,0.28,0.41,0.41,0.62,0.20
35,贾瑶涵,女,91,本地,茅湖仔·合租,,,,0.62,0.53,0.67,0.42,0.62,0.41,0.24,0.38,0.28
36,罗宁行,女,50,本地,火炭·商品房,,,,0.72,0.68,0.21,0.52,0.53,0.54,0.46,0.62,0.51
37,陶薇梅,女,11,外省,幻想世界·居住区,,,,0.63,0.60,0.33,0.30,0.53,0.73,0.43,0.46,0.88
38,毛承宸,男,8,外省,茅湖仔·合租,,,,0.55,0.67,0.39,0.39,0.54,0.71,0.62,0.60,0.81
39,朱平洋,男,31,外省,銅鑼灣·居住区,,,,0.55,0.55,0.43,0.47,0.50,0.61,0.51,0.54,0.75
40,曹嘉,女,42,外省,北角舊村·老小区,,,,0.86,0.64,0.38,0.19,0.63,0.55,0.47,0.50,0.44
41,董宸,男,28,本地,圓洲角·青年公寓,,,,0.71,0.55,0.75,0.49,0.88,0.48,0.35,0.46,0.41
42,彭宁婷,女,25,省内,茅湖仔·合租,,,,0.67,0.61,0.48,0.34,0.77,0.69,0.51,0.48,0.82
43,吴望月,女,47,本地,橫頭磡·社区,,,,0.37,0.42,0.30,0.58,0.54,0.51,0.45,0.48,0.41
44,魏瑾望,女,32,外省,幻想世界·居住区,,,,0.54,0.53,0.48,0.43,0.46,0.52,0.52,0.25,0.60
45,金磊健,男,61,本地,石澳·改造社区,,,,0.75,0.63,0.54,0.41,0.41,0.33,0.54,0.43,0.43
46,方知芳,女,54,本地,榕樹灣·老小区,,,,0.61,0.54,0.65,0.53,0.38,0.54,0.51,0.51,0.45
47,孔川华,男,77,本地,幻想世界·居住区,,,,0.65,0.69,0.30,0.72,0.25,0.46,0.42,0.44,0.23
48,崔平同,男,33,本地,西灣河·居住区,,,,0.89,0.81,0.41,0.45,0.38,0.56,0.52,0.37,0.37
49,闫昊宇,男,38,外省,大坑·合租,,,,0.45,0.46,0.35,0.40,0.51,0.54,0.43,0.45,0.56
50,曹新迅,男,15,本地,炮台山·社区,,,,0.69,0.72,0.67,0.54,0.55,0.70,0.43,0.34,0.63
51,郑和妍,女,20,省内,魷魚灣村·青年公寓,,,,0.69,0.70,0.39,0.12,0.37,0.58,0.63,0.70,0.84
52,叶亮,男,91,本地,大圍·改造社区,,,,0.70,0.53,0.53,0.49,0.38,0.62,0.23,0.48,0.41
53,石萱薇,女,30,外省,銅鑼灣·居住区,,,,0.70,0.30,0.73,0.44,0.48,0.69,0.53,0.49,0.73
54,黎新坤,男,81,本地,茅湖仔·合租,,,,0.60,0.51,0.50,0.34,0.67,0.47,0.24,0.41,0.51
55,陶磊涛,男,24,本地,鰂魚涌·居住区,,,,0.58,0.52,0.52,0.62,0.53,0.51,0.45,0.15,0.35
56,郑琪安,女,28,外省,圓洲角·青年公寓,,,,0.40,0.81,0.50,0.44,0.56,0.71,0.66,0.57,0.67
57,覃和超,男,15,外省,銅鑼灣·居住区,,,,0.43,0.51,0.46,0.21,0.26,0.59,0.43,0.09,0.64
58,卢泽之,男,64,外省,大圍·改造社区,,,,0.56,0.64,0.46,0.32,0.53,0.34,0.27,0.44,0.47
59,秦晨浩,男,29,外省,梅子林村·合租,,,,0.48,0.42,0.36,0.31,0.69,0.60,0.47,0.42,0.91
60,陆萱倩,女,18,本地,澳仔·商品房,,,,0.64,0.66,0.43,0.47,0.28,0.72,0.57,0.58,0.23
61,肖丽涵,女,21,外省,澳仔·自住房,,,,0.65,0.71,0.59,0.28,0.45,0.44,0.41,0.43,0.42
62,吕初,女,23,外省,鰂魚涌·居住区,,,,0.47,0.55,0.69,0.26,0.54,0.67,0.40,0.49,0.64
63,陆之,女,42,本地,炮台山·老小区,,,,0.63,0.51,0.82,0.65,0.54,0.50,0.54,0.24,0.44
64,陶锐晨,男,43,外省,大圍·改造社区,,,,0.84,0.46,0.51,0.45,0.59,0.45,0.43,0.72,0.61
65,孟初萱,女,6,本地,魷魚灣村·青年公寓,,,,0.40,0.58,0.35,0.34,0.44,0.51,0.50,0.21,0.53
66,张琪平,女,20,本地,澳仔·自住房,,,,0.47,0.61,0.46,0.41,0.35,0.63,0.44,0.37,0.54
67,钱艳菲,女,88,本地,慈雲山·改造社区,,,,0.72,0.59,0.55,0.56,0.37,0.30,0.58,0.54,0.39
68,朱川超,男,28,外省,香港仔·改造社区,,,,0.61,0.54,0.59,0.41,0.65,0.51,0.33,0.50,0.79
69,冯钦,男,57,本地,柴灣·改造社区,,,,0.59,0.41,0.64,0.59,0.67,0.23,0.24,0.42,0.16
70,高明晨,男,8,省内,幻想世界·居住区,,,,0.52,0.57,0.51,0.38,0.47,0.60,0.39,0.41,0.81
71,任燕颖,女,20,本地,澳仔·自住房,,,,0.68,0.77,0.41,0.39,0.48,0.43,0.31,0.79,0.48
72,董梅,女,37,外省,茅湖仔·青年公寓,,,,0.55,0.58,0.54,0.48,0.15,0.48,0.54,0.41,0.60
73,姜平,女,20,本地,半山·自住房,,,,0.51,0.70,0.43,0.86,0.49,0.51,0.68,0.43,0.57
74,韩荷,女,36,本地,將軍澳·商品房,,,,0.58,0.54,0.12,0.55,0.38,0.58,0.49,0.39,0.66
75,金宸迅,男,27,外省,茅湖仔·改造社区,,,,0.61,0.45,0.65,0.64,0.44,0.50,0.63,0.56,0.62
76,程坤彬,男,43,外省,炮台山·老小区,,,,0.47,0.55,0.59,0.17,0.63,0.60,0.68,0.45,0.66
77,汤然,男,27,外省,幻想世界·居住区,,,,0.68,0.51,0.61,0.41,0.60,0.57,0.51,0.32,0.41
78,吴伟杰,男,24,外省,鰂魚涌·居住区,,,,0.61,0.34,0.53,0.67,0.57,0.64,0.65,0.46,0.58
79,陶嘉,男,6,省内,魷魚灣村·青年公寓,,,,0.61,0.52,0.32,0.31,0.57,0.67,0.34,0.40,0.71
80,彭然秀,女,70,本地,慈雲山·改造社区,,,,0.63,0.57,0.27,0.67,0.37,0.18,0.48,0.32,0.26
81,贺浩,男,17,本地,葵涌·居住区,,,,0.56,0.64,0.23,0.61,0.43,0.68,0.59,0.36,0.51
82,邹涵,女,61,本地,石硤尾·社区,,,,0.68,0.61,0.41,0.51,0.31,0.50,0.38,0.59,0.42
83,宋月月,女,20,外省,天后·居住区,,,,0.48,0.60,0.50,0.39,0.61,0.46,0.53,0.41,0.72
84,莫磊之,男,21,省内,澳仔·商品房,,,,0.53,0.55,0.27,0.35,0.44,1.00,0.42,0.48,0.69
85,莫嘉和,女,20,外省,天后·居住区,,,,0.60,0.58,0.36,0.34,0.39,0.52,0.32,0.35,0.87
86,龙泽,男,54,本地,炮台山·社区,,,,0.36,0.74,0.48,0.61,0.26,0.63,0.30,0.65,0.29
87,戴岑,女,22,省内,茅湖仔·合租,,,,0.74,0.56,0.48,0.22,0.57,0.67,0.75,0.43,0.69
88,孙昊,男,26,省内,茅湖仔·改造社区,,,,0.51,0.62,0.56,0.21,0.65,0.60,0.47,0.68,0.90
89,侯野,男,34,外省,天后·自住房,,,,0.55,0.65,0.21,0.39,0.35,0.60,0.34,0.24,0.51
90,罗鹏,男,67,省内,橫頭磡·老小区,,,,0.73,0.54,0.39,0.31,0.23,0.52,0.49,0.65,0.34
91,段然健,男,28,外省,慈雲山·改造社区,,,,0.63,0.63,0.26,0.21,0.42,0.54,0.55,0.45,0.61
92,付知,女,58,本地,石硤尾·社区,,,,0.55,0.58,0.61,0.42,0.39,0.40,0.45,0.24,0.29
93,邓宁,女,32,本地,西灣河·居住区,,,,0.60,0.37,0.55,0.59,0.37,0.53,0.39,0.45,0.62
