id,name,o,c,e,a,n,source,unstated,redundant
1,李泽宇,-0.3453,0.482,-1.1309,-0.5874,1.9001,sampled_authored,,
2,周婉清,-0.3029,0.0478,2.3058,2.146,-0.1062,sampled_authored,,
3,陈一航,1.158,0.1112,1.8421,0.7608,-0.9284,sampled_authored,,
4,许曼婷,-0.6936,-0.8039,1.4076,0.9733,-0.0981,sampled_authored,,
5,王思远,0.1712,0.8214,-0.1989,0.9687,0.7544,sampled_authored,,
6,郭雨菲,-1.2345,0.6829,-1.0746,-0.3455,-0.4816,sampled_authored,,
7,沈嘉和,-1.085,-2.227,0.1052,-1.4444,2.2368,sampled_authored,,
8,林思萌,1.4913,0.4577,1.5052,0.3961,-0.2218,sampled_authored,,
9,赵子昂,1.915,1.2812,-0.222,-0.2161,-0.588,sampled_authored,,
10,方予安,-0.1069,1.0495,0.4928,1.1846,0.2329,sampled_authored,,
11,杜晨阳,1.2733,-0.3534,-0.137,0.1908,0.7427,sampled_authored,,
12,许安然,0.2035,-0.5308,0.4717,0.8761,-0.2847,sampled_authored,,
13,蒋昊,-2.4118,-0.0979,0.0759,0.5691,-1.2528,sampled_authored,,
14,宋雨薇,0.4812,-1.0118,2.4462,0.1266,-1.3245,sampled_authored,,
15,韩志远,1.3082,1.2437,0.3297,-1.4542,-0.5854,sampled_authored,,
16,叶嘉宁,-0.3391,-1.2944,-1.1894,0.2054,-1.7188,sampled_authored,,
17,罗志鹏,0.0935,0.4587,0.1371,1.566,-0.4251,sampled_authored,,
18,蔡静宜,1.1977,0.8458,-0.3518,1.1742,-0.8681,sampled_authored,,
19,彭志强,-0.4368,-0.7057,0.9265,-2.1994,0.955,sampled_authored,,
20,姚舒雅,1.2227,-0.3984,-0.1399,0.1859,1.6011,sampled_authored,,
21,邵国梁,-0.8764,-0.501,-2.2302,0.6326,-0.5887,sampled_authored,,
22,陆文琴,-0.4344,0.6855,0.7756,0.4595,0.5481,sampled_authored,,
23,何志鹏,0.672,-0.9088,-0.3885,-0.2502,-0.8342,sampled_authored,,
24,郑秋兰,-0.3358,2.2586,-0.0081,1.0893,-1.9545,sampled_authored,,
25,潘德胜,0.1697,0.0094,0.2999,0.5726,-0.8356,sampled_authored,,
26,许春梅,1.938,-1.3482,0.8536,-1.0649,0.6399,sampled_authored,,
27,周世康,-1.6506,0.3396,-1.2249,-0.8395,0.4576,sampled_authored,,
28,沈丽娜,-0.1219,-0.0304,-0.9222,-0.7563,1.9859,sampled_authored,,
29,朱明祥,-1.3255,-1.0876,-0.5027,-0.1637,0.1263,sampled_authored,,
30,严晓蓉,-0.4139,-1.0791,-0.446,-1.268,1.2311,sampled_authored,,
31,梁振华,-0.4348,1.578,-0.8118,0.9012,-0.5886,sampled_authored,,
32,吴淑芬,0.6902,0.3133,0.4065,-0.2688,0.8344,sampled_authored,,
33,钱福生,-1.1834,-1.3151,-1.7631,-1.3767,-1.0599,sampled_authored,,
34,徐桂兰,0.7905,0.9802,-1.2391,0.3826,1.5846,sampled_authored,,
35,蔡德荣,-1.1323,0.0456,0.0245,1.1979,-0.7783,sampled_authored,,
36,蒋月琴,-0.6998,-0.5468,0.4836,1.0171,0.5592,sampled_authored,,
37,马志勇,-1.4658,0.3934,-0.9949,0.6519,1.0916,sampled_authored,,
38,唐予晴,0.8493,2.3092,-0.5603,0.7869,-0.124,sampled_authored,,
39,胡建平,-0.8818,-0.4417,0.0844,-0.8649,-0.81,sampled_authored,,
40,邓思琦,0.7829,0.8097,0.3853,0.1225,-0.555,sampled_authored,,
41,施永强,-0.6251,-0.4437,-1.3295,-1.3643,0.4725,sampled_authored,,
42,顾晓怡,-0.8073,-2.5,-0.3721,-0.5586,0.6071,sampled_authored,,
43,范国富,-0.0516,-0.4289,1.0567,-1.0943,0.2307,sampled_authored,,
44,董秀兰,-1.1009,-0.2646,0.3142,-1.4426,0.6955,sampled_authored,,
45,沈文博,0.4081,-1.562,-0.1644,-2.4728,-0.7726,sampled_authored,,
46,程婉宁,1.4171,0.3788,-1.8319,-0.1497,0.9528,sampled_authored,,
47,邵启明,0.4947,0.2988,0.386,0.457,-1.4427,sampled_authored,,
48,金若曦,-0.2278,0.2398,0.7966,0.9746,-1.6172,sampled_authored,,
49,罗俊杰,1.7298,0.1393,0.9758,-0.4427,0.2981,sampled_authored,,
50,许知夏,0.4613,0.5956,-0.4119,0.4683,0.5245,sampled_authored,,
51,内田有纪,-0.1949,1.0397,0.7572,-0.4128,-0.4178,sampled_authored,,
