id,name,gender,age,hukou,residence,emotion,stress,econ_security,city_identity,policy_sensitivity,platform_dependence,risk_preference,voice_propensity,mobility_intent
1,闫嘉,女,18,本地,Lake Block·自住房,0.40,0.28,0.62,0.50,0.58,0.94,0.60,0.40,0.66
2,高安萱,女,13,外省,Tech Park·改造社区,0.47,0.53,0.41,0.50,0.52,0.26,0.57,0.38,0.63
3,周嘉平,男,25,本地,Financial District·居住区,0.56,0.54,0.62,0.59,0.52,0.58,0.36,0.60,0.45
4,陆娜,女,67,本地,Financial District·老小区,0.63,0.57,0.51,0.31,0.41,0.23,0.35,0.34,0.43
5,熊健昊,男,20,本地,Lake Block·自住房,0.61,0.64,0.30,0.72,0.60,0.52,0.45,0.50,0.70
6,邓露,女,88,本地,Financial District·居住区,0.63,0.71,0.37,0.36,0.39,0.41,0.51,0.44,0.36
7,侯香野,女,28,外省,Lake Block·改造社区,0.65,0.32,0.30,0.48,0.31,0.49,0.26,0.49,0.66
8,冯知承,男,29,外省,East Block·商品房,0.51,0.65,0.37,0.19,0.43,0.58,0.53,0.45,0.38
9,向雪薇,女,70,本地,Financial District·老小区,0.58,0.50,0.40,0.53,0.55,0.58,0.23,0.58,0.44
10,程子月,女,30,外省,Hill Block·改造社区,0.66,0.51,0.61,0.56,0.47,0.56,0.62,0.49,0.88
11,刘韵,女,29,外国,Lake Block·老小区,0.94,0.36,0.59,0.35,0.41,0.45,0.39,0.53,0.85
12,向勇昊,男,71,本地,Financial District·居住区,0.52,0.59,0.35,0.56,0.24,0.34,0.32,0.28,0.39
13,付辉初,男,26,本地,East Block·青年公寓,0.64,0.40,0.42,0.71,0.58,0.67,0.66,0.59,0.32
14,严亮,男,8,本地,Financial District·社区,0.57,0.65,0.48,0.48,0.45,0.50,0.34,0.30,0.59
15,钟杰,男,70,外省,Tech Park·改造社区,0.66,0.56,0.65,0.27,0.40,0.16,0.22,0.52,0.51
16,杜霖迅,男,53,本地,Tech Park·改造社区,0.59,0.65,0.40,0.42,0.61,0.30,0.49,0.62,0.41
17,卢轩承,男,27,外省,Hill Block·改造社区,0.59,0.62,0.44,0.37,0.44,0.52,0.31,0.36,0.71
18,何月芳,女,53,本地,Tech Park·改造社区,0.49,0.66,0.28,0.75,0.41,0.30,0.44,0.51,0.10
19,闫芳琪,女,24,外省,Financial District·居住区,0.57,0.52,0.63,0.49,0.57,0.52,0.52,0.67,0.62
20,林航华,男,39,本地,Financial District·社区,0.72,0.52,0.55,0.48,0.22,0.56,0.56,0.40,0.18
21,孔红霞,女,30,省内,Lake Block·老小区,0.61,0.58,0.52,0.31,0.44,0.64,0.46,0.67,0.53
22,田彬平,男,29,本地,East Block·商品房,0.60,0.46,0.47,0.51,0.68,0.56,0.69,0.36,0.51
23,于平,女,38,本地,Financial District·社区,0.65,0.56,0.31,0.48,0.61,0.52,0.39,0.59,0.47
24,汤韵嘉,女,11,本地,Hill Block·改造社区,0.53,0.61,0.47,0.71,0.59,0.57,0.35,0.21,0.68
25,石梅露,女,32,外省,Hill Block·改造社区,0.59,0.55,0.74,0.48,0.49,0.32,0.39,0.76,0.56
26,程航,男,25,本地,Lake Block·自住房,0.56,0.63,0.55,0.49,0.54,0.39,0.69,0.51,0.62
27,丁望昊,男,9,外省,Financial District·居住区,0.73,0.69,0.45,0.45,0.49,0.53,0.63,0.24,0.78
28,秦望露,女,7,本地,East Block·青年公寓,0.46,0.56,0.41,0.39,0.38,0.60,0.52,0.34,0.74
29,钟文,男,70,本地,Tech Park·改造社区,0.66,0.49,0.20,0.60,0.42,0.54,0.53,0.35,0.15
30,蒋睿亮,男,8,本地,Financial District·社区,0.62,0.62,0.35,0.59,0.61,0.62,0.44,0.60,0.66
31,闫嘉,女,6,本地,Lake Block·自住房,0.40,0.38,0.50,0.50,0.55,0.73,0.63,0.36,0.70
32,高安萱,女,13,外省,Tech Park·改造社区,0.47,0.53,0.41,0.50,0.52,0.26,0.57,0.38,0.63
33,周嘉平,男,25,本地,Financial District·居住区,0.56,0.50,0.60,0.59,0.46,0.83,0.36,0.53,0.45
34,陆娜,女,7,本地,Financial District·老小区,0.63,0.57,0.51,0.31,0.44,0.46,0.54,0.38,0.72
35,熊健昊,男,37,本地,Tech Park·合租,0.61,0.58,0.44,0.72,0.66,0.45,0.40,0.57,0.61
36,邓帆,男,52,本地,Financial District·老小区,0.63,0.71,0.37,0.36,0.42,0.48,0.57,0.48,0.45
37,侯香野,女,28,外省,Lake Block·改造社区,0.65,0.38,0.17,0.48,0.28,0.49,0.26,0.45,0.66
38,冯知承,男,13,本地,East Block·商品房,0.51,0.65,0.37,0.37,0.40,0.64,0.58,0.42,0.31
39,向雪薇,女,38,本地,East Block·居住区,0.58,0.53,0.31,0.53,0.52,0.71,0.33,0.54,0.60
40,程子月,女,62,外省,Hill Block·改造社区,0.66,0.41,0.83,0.56,0.47,0.43,0.52,0.49,0.72
41,刘韵,女,14,省内,Lake Block·老小区,0.94,0.36,0.59,0.35,0.35,0.51,0.44,0.46,0.92
42,向勇昊,男,22,本地,Financial District·老小区,0.52,0.56,0.41,0.56,0.36,0.54,0.48,0.42,0.63
43,付辉初,男,26,本地,East Block·青年公寓,0.64,0.44,0.35,0.71,0.61,0.67,0.66,0.63,0.32
44,严亮,男,38,本地,Financial District·社区,0.57,0.65,0.48,0.48,0.48,0.39,0.24,0.33,0.45
45,钟艳,女,38,外省,Industrial Park·老小区,0.66,0.56,0.65,0.27,0.40,0.29,0.32,0.52,0.67
46,杜霖迅,男,64,本地,Hill Block·改造社区,0.59,0.68,0.33,0.42,0.55,0.25,0.45,0.55,0.36
47,卢轩承,男,27,外省,Financial District·居住区,0.59,0.62,0.44,0.37,0.41,0.52,0.31,0.32,0.71
48,何峰伟,男,53,本地,Lake Block·社区,0.49,0.64,0.32,0.75,0.44,0.30,0.44,0.54,0.10
49,闫伟坤,男,75,本地,Industrial Park·商品房,0.57,0.60,0.45,0.67,0.45,0.34,0.36,0.52,0.24
50,林航华,男,39,外国,Hill Block·居住区,0.72,0.54,0.51,0.30,0.19,0.56,0.56,0.36,0.33
51,孔红霞,女,62,本地,Lake Block·自住房,0.61,0.58,0.52,0.49,0.32,0.51,0.35,0.53,0.22
52,田瑾平,女,29,外省,Industrial Park·合租,0.60,0.40,0.61,0.33,0.68,0.56,0.69,0.36,0.66
53,于平,男,20,本地,Tech Park·居住区,0.65,0.56,0.31,0.48,0.70,0.59,0.45,0.70,0.56
54,汤锐然,男,11,外省,Lake Block·自住房,0.53,0.61,0.47,0.53,0.59,0.57,0.35,0.21,0.83
55,石梅露,女,88,本地,Hill Block·居住区,0.59,0.67,0.47,0.66,0.37,0.17,0.26,0.61,0.22
56,程航,男,59,本地,Lake Block·自住房,0.56,0.65,0.52,0.49,0.48,0.25,0.58,0.44,0.45
57,丁望萱,女,40,省内,Industrial Park·青年公寓,0.73,0.74,0.34,0.45,0.52,0.41,0.53,0.28,0.63
58,秦望露,女,7,本地,Financial District·老小区,0.46,0.56,0.41,0.39,0.38,0.60,0.52,0.34,0.74
59,钟文,男,70,省内,Hill Block·商品房,0.66,0.49,0.20,0.42,0.42,0.54,0.53,0.35,0.30
60,蒋妍露,女,21,省内,Financial District·老小区,0.62,0.61,0.36,0.41,0.61,0.57,0.40,0.60,0.76
61,谭凯,男,57,本地,Financial District·居住区,0.64,0.29,0.69,0.44,0.39,0.23,0.35,0.53,0.42
62,沈韵川,女,63,省内,Lake Block·自住房,0.51,0.53,0.39,0.28,0.57,0.46,0.11,0.30,0.59
63,高然,男,21,本地,Lake Block·自住房,0.46,0.66,0.56,0.54,0.41,0.71,0.46,0.48,0.65
64,汪晨,男,52,本地,Industrial Park·居住区,0.76,0.43,0.81,0.70,0.31,0.41,0.41,0.66,0.20
65,贾瑶涵,女,91,本地,Financial District·居住区,0.62,0.53,0.67,0.42,0.62,0.41,0.24,0.38,0.28
66,罗迅行,男,62,本地,Lake Block·自住房,0.72,0.68,0.21,0.52,0.47,0.50,0.42,0.55,0.45
67,陶薇梅,女,11,本地,Lake Block·自住房,0.63,0.60,0.33,0.48,0.53,0.73,0.43,0.46,0.73
68,毛承宸,男,8,本地,Hill Block·合租,0.55,0.67,0.39,0.57,0.54,0.71,0.62,0.60,0.66
69,朱平洋,男,31,省内,Industrial Park·合租,0.55,0.56,0.43,0.47,0.50,0.61,0.51,0.54,0.75
70,曹然,男,58,本地,Industrial Park·老小区,0.86,0.62,0.41,0.37,0.60,0.49,0.42,0.46,0.21
71,董红,女,28,外省,Tech Park·青年公寓,0.71,0.68,0.46,0.31,0.76,0.48,0.35,0.32,0.56
72,彭迅辉,男,44,本地,Financial District·居住区,0.67,0.59,0.52,0.52,0.68,0.62,0.44,0.37,0.57
73,吴望峰,男,61,本地,Financial District·社区,0.37,0.42,0.30,0.58,0.48,0.46,0.41,0.41,0.34
74,魏瑾望,女,32,外省,Industrial Park·合租,0.54,0.48,0.60,0.43,0.46,0.52,0.52,0.25,0.60
75,金敏琳,女,61,本地,Tech Park·青年公寓,0.75,0.63,0.52,0.41,0.38,0.33,0.54,0.39,0.43
