id,name,gender,age,hukou,residence,emotion,stress,econ_security,city_identity,policy_sensitivity,platform_dependence,risk_preference,voice_propensity,mobility_intent
1,闫然,男,35,本地,联合村·自住房,0.40,0.28,0.63,0.50,0.58,0.88,0.54,0.40,0.57
2,高安昊,男,61,本地,新塘头村·改造社区,0.47,0.54,0.38,0.68,0.55,0.06,0.41,0.42,0.24
3,周薇平,女,25,本地,群谊村·居住区,0.56,0.66,0.33,0.59,0.52,0.58,0.36,0.60,0.45
4,陆娜,女,19,外省,新桥村·老小区,0.63,0.63,0.38,0.13,0.50,0.43,0.51,0.45,0.82
5,熊雪萱,女,37,本地,陈家园村·合租,0.61,0.58,0.44,0.72,0.60,0.45,0.40,0.50,0.61
6,邓露,女,16,本地,长巷村·老小区,0.63,0.71,0.37,0.36,0.42,0.62,0.69,0.48,0.63
7,侯香野,女,47,本地,娄宫村·改造社区,0.65,0.32,0.30,0.66,0.34,0.41,0.20,0.53,0.42
8,冯行薇,女,13,外省,府山街道·商品房,0.51,0.65,0.37,0.19,0.34,0.64,0.58,0.35,0.46
9,向华嘉,男,21,外省,新桥村·老小区,0.58,0.47,0.45,0.35,0.61,0.78,0.39,0.65,0.83
10,程之峰,男,30,本地,齐贤街道·改造社区,0.66,0.51,0.60,0.74,0.50,0.56,0.62,0.52,0.73
11,刘韵,女,29,本地,娄宫村·老小区,0.94,0.36,0.59,0.53,0.47,0.45,0.39,0.60,0.70
12,向丽萱,女,8,本地,北海街道·改造社区,0.52,0.59,0.35,0.56,0.27,0.58,0.52,0.31,0.69
13,付玲初,女,26,本地,北海街道·青年公寓,0.64,0.42,0.38,0.71,0.58,0.67,0.66,0.59,0.32
14,严亮,男,56,省内,甘露亭村·社区,0.57,0.65,0.48,0.30,0.42,0.32,0.18,0.26,0.51
15,钟艳,女,38,省内,衙前村·老小区,0.66,0.53,0.73,0.27,0.40,0.29,0.32,0.52,0.67
16,杜瑶宁,女,90,本地,八里桥村·居住区,0.59,0.65,0.40,0.42,0.61,0.23,0.43,0.62,0.33
17,卢梅薇,女,81,本地,杨汛桥街道·改造社区,0.59,0.62,0.44,0.55,0.41,0.35,0.16,0.32,0.35
18,何峰伟,男,90,本地,下溇·社区,0.49,0.64,0.32,0.75,0.38,0.23,0.38,0.47,0.02
19,闫芳琪,女,58,外省,杨汛桥街道·改造社区,0.57,0.60,0.45,0.49,0.51,0.38,0.40,0.59,0.45
20,林航华,男,22,本地,下溇·社区,0.72,0.58,0.42,0.48,0.19,0.63,0.61,0.36,0.27
21,孔泽明,男,14,外省,齐贤街道·改造社区,0.61,0.58,0.52,0.31,0.38,0.70,0.51,0.60,0.61
22,田彬平,男,48,本地,府山街道·商品房,0.60,0.50,0.38,0.51,0.65,0.49,0.62,0.33,0.41
