id,name,gender,age,hukou,residence,employment,industry,monthly_income,emotion,stress,econ_security,city_identity,policy_sensitivity,platform_dependence,risk_preference,voice_propensity,mobility_intent
1,闫嘉,女,6,本地,Cheltenham·自住房,not_in_labor_force,none,0,0.40,0.38,0.50,0.50,0.55,0.73,0.63,0.36,0.70
2,高安萱,女,13,外省,Avondale·改造社区,not_in_labor_force,none,0,0.47,0.53,0.41,0.50,0.52,0.26,0.57,0.38,0.63
3,周嘉平,男,25,本地,Wrightwood·居住区,employed,trade,13267,0.56,0.50,0.60,0.59,0.46,0.83,0.36,0.53,0.45
4,陆娜,女,7,本地,Stony Island·老小区,not_in_labor_force,none,0,0.63,0.57,0.51,0.31,0.44,0.46,0.54,0.38,0.72
5,熊健昊,男,37,本地,Park Manor·合租,not_in_labor_force,none,0,0.61,0.58,0.44,0.72,0.66,0.45,0.40,0.57,0.61
6,邓帆,男,52,本地,Chicago Union Station·老小区,employed,service,4997,0.63,0.71,0.37,0.36,0.42,0.48,0.57,0.48,0.45
7,侯香野,女,28,外省,Woodlawn·改造社区,employed,tech,2027,0.65,0.38,0.17,0.48,0.28,0.49,0.26,0.45,0.66
8,冯知承,男,13,本地,Maplewood·商品房,not_in_labor_force,none,0,0.51,0.65,0.37,0.37,0.40,0.64,0.58,0.42,0.31
9,向雪薇,女,38,本地,Oakland·居住区,employed,trade,3185,0.58,0.53,0.31,0.53,0.52,0.71,0.33,0.54,0.60
10,程子月,女,62,外省,Becks Park·改造社区,employed,trade,8455,0.66,0.41,0.83,0.56,0.47,0.43,0.52,0.49,0.72
11,刘韵,女,14,省内,Woodlawn·老小区,not_in_labor_force,none,0,0.94,0.36,0.59,0.35,0.35,0.51,0.44,0.46,0.92
12,向勇昊,男,22,本地,Stony Island·老小区,employed,finance,6373,0.52,0.56,0.41,0.56,0.36,0.54,0.48,0.42,0.63
13,付辉初,男,26,本地,South Branch Addition·青年公寓,employed,trade,4380,0.64,0.44,0.35,0.71,0.61,0.67,0.66,0.63,0.32
14,严亮,男,38,本地,83rd Street (South Chicago)·社区,not_in_labor_force,none,0,0.57,0.65,0.48,0.48,0.48,0.39,0.24,0.33,0.45
15,钟艳,女,38,外省,Kedzie·老小区,not_in_labor_force,none,0,0.66,0.56,0.65,0.27,0.40,0.29,0.32,0.52,0.67
16,杜霖迅,男,64,本地,Becks Park·改造社区,employed,service,3387,0.59,0.68,0.33,0.42,0.55,0.25,0.45,0.55,0.36
17,卢轩承,男,27,外省,Wrightwood·居住区,not_in_labor_force,none,0,0.59,0.62,0.44,0.37,0.41,0.52,0.31,0.32,0.71
18,何峰伟,男,53,本地,Irving Park·社区,not_in_labor_force,none,0,0.49,0.64,0.32,0.75,0.44,0.30,0.44,0.54,0.10
19,闫伟坤,男,75,本地,East Garfield Park·商品房,not_in_labor_force,none,2275,0.57,0.60,0.45,0.67,0.45,0.34,0.36,0.52,0.24
20,林航华,男,39,外国,Archer Heights·居住区,employed,service,3982,0.72,0.54,0.51,0.30,0.19,0.56,0.56,0.36,0.33
21,孔红霞,女,62,本地,Bricktown·自住房,not_in_labor_force,none,0,0.61,0.58,0.52,0.49,0.32,0.51,0.35,0.53,0.22
22,田瑾平,女,29,外省,Western Avenue·合租,employed,education,14189,0.60,0.40,0.61,0.33,0.68,0.56,0.69,0.36,0.66
23,于平,男,20,本地,South Englewood·居住区,not_in_labor_force,none,0,0.65,0.56,0.31,0.48,0.70,0.59,0.45,0.70,0.56
24,汤锐然,男,11,外省,Bricktown·自住房,not_in_labor_force,none,0,0.53,0.61,0.47,0.53,0.59,0.57,0.35,0.21,0.83
25,石梅露,女,88,本地,Lincoln Park·居住区,not_in_labor_force,none,2275,0.59,0.67,0.47,0.66,0.37,0.17,0.26,0.61,0.22
26,程航,男,59,本地,Fuller Park·自住房,employed,service,4180,0.56,0.65,0.52,0.49,0.48,0.25,0.58,0.44,0.45
27,丁望萱,女,40,省内,Museum Campus/11th Street·青年公寓,employed,service,2764,0.73,0.74,0.34,0.45,0.52,0.41,0.53,0.28,0.63
28,秦望露,女,7,本地,Stony Island·老小区,not_in_labor_force,none,0,0.46,0.56,0.41,0.39,0.38,0.60,0.52,0.34,0.74
29,钟文,男,70,省内,Becks Park·商品房,not_in_labor_force,none,2275,0.66,0.49,0.20,0.42,0.42,0.54,0.53,0.35,0.30
30,蒋妍露,女,21,省内,Stony Island·老小区,employed,trade,5211,0.62,0.61,0.36,0.41,0.61,0.57,0.40,0.60,0.76
31,谭凯,男,57,本地,McCormick Place·居住区,employed,trade,20848,0.64,0.29,0.69,0.44,0.39,0.23,0.35,0.53,0.42
32,沈韵川,女,63,省内,Irving Park·自住房,not_in_labor_force,none,0,0.51,0.53,0.39,0.28,0.57,0.46,0.11,0.30,0.59
33,高然,男,21,本地,Cheltenham·自住房,employed,service,6125,0.46,0.66,0.56,0.54,0.41,0.71,0.46,0.48,0.65
34,汪晨,男,52,本地,Englewood·居住区,employed,trade,26080,0.76,0.43,0.81,0.70,0.31,0.41,0.41,0.66,0.20
35,贾瑶涵,女,91,本地,McCormick Place·居住区,not_in_labor_force,none,2275,0.62,0.53,0.67,0.42,0.62,0.41,0.24,0.38,0.28
36,罗迅行,男,62,本地,Irving Park·自住房,not_in_labor_force,none,0,0.72,0.68,0.21,0.52,0.47,0.50,0.42,0.55,0.45
37,陶薇梅,女,11,本地,Bricktown·自住房,not_in_labor_force,none,0,0.63,0.60,0.33,0.48,0.53,0.73,0.43,0.46,0.73
38,毛承宸,男,8,本地,Forest Hill·合租,not_in_labor_force,none,0,0.55,0.67,0.39,0.57,0.54,0.71,0.62,0.60,0.66
39,朱平洋,男,31,省内,Western Avenue·合租,employed,education,5429,0.55,0.56,0.43,0.47,0.50,0.61,0.51,0.54,0.75
40,曹然,男,58,本地,Cicero·老小区,employed,service,5654,0.86,0.62,0.41,0.37,0.60,0.49,0.42,0.46,0.21
41,董红,女,28,外省,Granville Gardens·青年公寓,employed,service,2539,0.71,0.68,0.46,0.31,0.76,0.48,0.35,0.32,0.56
42,彭迅辉,男,44,本地,McCormick Place·居住区,employed,trade,5886,0.67,0.59,0.52,0.52,0.68,0.62,0.44,0.37,0.57
43,吴望峰,男,61,本地,Bryn Mawr·社区,not_in_labor_force,none,0,0.37,0.42,0.30,0.58,0.48,0.46,0.41,0.41,0.34
44,魏瑾望,女,32,外省,Western Avenue·合租,employed,trade,8109,0.54,0.48,0.60,0.43,0.46,0.52,0.52,0.25,0.60
45,金敏琳,女,61,本地,Granville Gardens·青年公寓,employed,service,4582,0.75,0.63,0.52,0.41,0.38,0.33,0.54,0.39,0.43
46,方野伟,男,64,本地,Becks Park·商品房,employed,trade,7782,0.61,0.59,0.54,0.53,0.32,0.50,0.47,0.43,0.40
47,孔川华,男,77,本地,East Garfield Park·商品房,not_in_labor_force,none,2275,0.65,0.69,0.30,0.72,0.25,0.46,0.42,0.44,0.23
48,崔平同,男,33,本地,Grand Boulevard·居住区,employed,tech,8824,0.89,0.73,0.59,0.45,0.38,0.56,0.52,0.37,0.37
49,闫昊宇,男,38,本地,Fuller Park·合租,employed,tech,42972,0.45,0.37,0.57,0.58,0.57,0.54,0.43,0.52,0.41
50,曹新迅,男,15,外省,Englewood·居住区,not_in_labor_force,none,0,0.69,0.72,0.67,0.36,0.55,0.70,0.43,0.34,0.78
51,郑和妍,女,20,外省,Lincoln Park·居住区,not_in_labor_force,none,0,0.69,0.69,0.40,0.12,0.34,0.58,0.63,0.67,0.84
52,叶亮,男,91,本地,Granville Gardens·青年公寓,not_in_labor_force,none,2275,0.70,0.53,0.53,0.49,0.38,0.62,0.23,0.48,0.41
53,石萱薇,女,30,省内,Woodlawn·老小区,employed,tech,10107,0.70,0.33,0.65,0.44,0.48,0.69,0.53,0.49,0.73
54,黎新坤,男,81,本地,Clybourn·改造社区,not_in_labor_force,none,2275,0.60,0.51,0.50,0.34,0.64,0.47,0.24,0.37,0.51
55,陶磊涛,男,24,本地,Wrightwood·居住区,employed,service,7178,0.58,0.50,0.55,0.62,0.53,0.51,0.45,0.15,0.35
56,郑琪安,女,28,本地,Woodlawn·改造社区,not_in_labor_force,none,0,0.40,0.81,0.50,0.62,0.56,0.71,0.66,0.57,0.52
57,覃和超,男,15,本地,Woodlawn·老小区,not_in_labor_force,none,0,0.43,0.51,0.46,0.39,0.26,0.59,0.43,0.09,0.49
58,卢红之,女,64,省内,Bricktown·自住房,employed,trade,12475,0.56,0.55,0.56,0.32,0.50,0.59,0.27,0.40,0.47
59,秦晨浩,男,29,省内,Western Avenue·合租,not_in_labor_force,none,0,0.48,0.51,0.15,0.31,0.66,0.60,0.47,0.39,0.91
60,陆昊轩,男,35,本地,Grand Boulevard·居住区,not_in_labor_force,none,0,0.64,0.66,0.43,0.47,0.19,0.65,0.52,0.48,0.15
61,肖丽涵,女,21,本地,Forest Hill·合租,employed,service,9220,0.65,0.66,0.70,0.46,0.45,0.44,0.41,0.43,0.27
62,吕初,女,23,本地,Forest Hill·合租,not_in_labor_force,none,0,0.47,0.59,0.59,0.44,0.54,0.67,0.40,0.49,0.49
63,陆之,女,42,外省,Maplewood·商品房,not_in_labor_force,none,0,0.63,0.61,0.59,0.47,0.60,0.50,0.54,0.31,0.59
64,陶琪怡,女,43,本地,83rd Street (South Chicago)·社区,employed,trade,6898,0.84,0.44,0.56,0.63,0.53,0.45,0.43,0.65,0.46
65,孟初萱,女,6,外国,Bricktown·自住房,not_in_labor_force,none,0,0.40,0.58,0.35,0.16,0.44,0.51,0.50,0.21,0.68
66,张琪平,女,20,本地,South Englewood·居住区,employed,service,6630,0.47,0.53,0.63,0.41,0.35,0.63,0.44,0.37,0.54
67,钱艳菲,女,88,本地,Woodlawn·老小区,not_in_labor_force,none,2275,0.72,0.59,0.55,0.56,0.34,0.30,0.58,0.51,0.39
68,朱川超,男,28,外省,Woodlawn·改造社区,employed,service,18397,0.61,0.42,0.85,0.41,0.65,0.51,0.33,0.50,0.79
69,冯妍,女,57,本地,Avondale·改造社区,employed,service,3784,0.59,0.52,0.40,0.59,0.64,0.23,0.24,0.38,0.16
70,高明晨,男,8,本地,Bricktown·自住房,not_in_labor_force,none,0,0.52,0.57,0.51,0.56,0.47,0.60,0.39,0.41,0.66
71,任燕颖,女,20,外省,South Englewood·居住区,employed,service,2297,0.68,0.78,0.38,0.21,0.48,0.43,0.31,0.79,0.63
72,董梅,女,37,外省,Forest Hill·青年公寓,not_in_labor_force,none,0,0.55,0.58,0.54,0.48,0.24,0.48,0.54,0.51,0.60
73,姜平,女,20,本地,Cheltenham·自住房,not_in_labor_force,none,0,0.51,0.70,0.43,0.86,0.49,0.51,0.68,0.43,0.57
74,韩嘉,男,55,外省,Cicero·老小区,not_in_labor_force,none,0,0.58,0.48,0.25,0.37,0.32,0.51,0.43,0.32,0.71
75,金宸迅,男,27,本地,Woodlawn·改造社区,employed,trade,16643,0.61,0.41,0.73,0.82,0.44,0.50,0.63,0.56,0.47
