id,name,gender,age,hukou,residence,emotion,stress,econ_security,city_identity,policy_sensitivity,platform_dependence,risk_preference,voice_propensity,mobility_intent
1,李泽宇,男,24,外省,余杭·未来科技城,0.58,0.62,0.5,0.48,0.45,0.55,0.4,0.2,0.6
2,周婉清,女,26,外省,滨江·白马湖,0.62,0.6,0.55,0.6,0.6,0.45,0.45,0.55,0.55
3,陈一航,男,22,省内,钱塘·下沙高校,0.55,0.62,0.4,0.5,0.5,0.3,0.5,0.35,0.65
4,许曼婷,女,28,外省,西湖·老小区合租,0.6,0.58,0.55,0.65,0.55,0.65,0.45,0.65,0.55
5,王思远,男,30,外省,余杭·未来科技城,0.58,0.78,0.52,0.62,0.75,0.4,0.7,0.45,0.65
6,郭雨菲,女,25,外省,萧山·改造社区,0.48,0.66,0.44,0.46,0.5,0.75,0.3,0.25,0.5
7,沈嘉和,男,27,本地,拱墅·老小区,0.55,0.6,0.42,0.7,0.55,0.35,0.65,0.5,0.55
8,林思萌,女,23,外省,临平·合租,0.5,0.72,0.38,0.4,0.4,0.85,0.5,0.4,0.55
9,赵子昂,男,29,外省,滨江·青年公寓,0.57,0.63,0.58,0.6,0.6,0.6,0.55,0.45,0.5
10,方予安,女,30,本地,上城·商品房,0.62,0.7,0.72,0.75,0.8,0.35,0.45,0.5,0.4
11,吴承昊,男,35,外省,西湖·学区房,0.6,0.72,0.65,0.7,0.78,0.45,0.4,0.35,0.3
12,邱静雯,女,33,外省,滨江·人才公寓,0.62,0.65,0.68,0.66,0.82,0.3,0.35,0.4,0.55
13,宋建国,男,38,本地,萧山·自住房,0.58,0.55,0.6,0.68,0.55,0.2,0.25,0.2,0.25
14,蒋慧敏,女,40,本地,拱墅·社区,0.55,0.68,0.62,0.75,0.75,0.15,0.2,0.5,0.2
15,高启辰,男,42,外省,余杭·租赁别墅区,0.6,0.8,0.48,0.6,0.9,0.35,0.85,0.45,0.7
16,叶婧怡,女,36,本地,西湖·居住区,0.63,0.55,0.58,0.72,0.65,0.1,0.2,0.3,0.2
17,丁宏毅,男,45,本地,上城·居住区,0.65,0.5,0.66,0.78,0.7,0.1,0.15,0.25,0.15
18,韩若彤,女,34,外省,滨江·居住区,0.6,0.62,0.6,0.68,0.75,0.25,0.3,0.4,0.45
19,彭志强,男,39,外省,临平·商品房,0.56,0.65,0.55,0.58,0.6,0.45,0.35,0.2,0.4
20,姚舒雅,女,41,本地,富阳·自住房,0.6,0.62,0.58,0.65,0.7,0.55,0.45,0.4,0.3
21,邵国梁,男,48,本地,拱墅·自住房,0.62,0.55,0.6,0.72,0.65,0.2,0.3,0.3,0.2
22,陆文琴,女,50,本地,西湖·居住区,0.64,0.5,0.68,0.78,0.75,0.1,0.2,0.25,0.15
23,何志鹏,男,55,本地,萧山·居住区,0.6,0.52,0.62,0.74,0.6,0.15,0.2,0.2,0.1
24,郑秋兰,女,47,本地,上城·社区,0.58,0.68,0.6,0.8,0.8,0.15,0.2,0.6,0.1
25,潘德胜,男,52,本地,临平·居住区,0.55,0.65,0.5,0.62,0.7,0.6,0.35,0.4,0.2
26,许春梅,女,49,本地,富阳·居住区,0.57,0.7,0.52,0.68,0.65,0.4,0.3,0.3,0.15
27,周世康,男,58,本地,桐庐·县城,0.62,0.5,0.6,0.76,0.7,0.1,0.25,0.3,0.05
28,沈丽娜,女,46,本地,西湖·居住区,0.55,0.72,0.5,0.68,0.85,0.35,0.55,0.45,0.2
29,朱明祥,男,60,本地,上城·老小区,0.6,0.45,0.55,0.8,0.55,0.05,0.15,0.2,0.05
30,严晓蓉,女,54,本地,拱墅·居住区,0.63,0.55,0.65,0.72,0.7,0.2,0.3,0.35,0.15
31,梁振华,男,63,本地,西湖·社区,0.68,0.4,0.75,0.85,0.65,0.05,0.1,0.4,0.05
32,吴淑芬,女,65,本地,上城·社区,0.7,0.38,0.78,0.88,0.7,0.05,0.1,0.45,0.05
33,钱福生,男,70,本地,拱墅·老社区,0.6,0.35,0.65,0.82,0.5,0.02,0.05,0.2,0.02
34,徐桂兰,女,68,本地,萧山·社区,0.58,0.4,0.6,0.8,0.65,0.02,0.05,0.25,0.02
35,蔡德荣,男,72,本地,临平·老小区,0.6,0.38,0.48,0.78,0.65,0.02,0.05,0.2,0.02
36,蒋月琴,女,61,本地,富阳·居住区,0.65,0.4,0.62,0.75,0.7,0.05,0.1,0.3,0.05
37,马志勇,男,34,外省,滨江·城中村,0.52,0.72,0.45,0.5,0.6,0.9,0.45,0.35,0.55
38,唐予晴,女,29,外省,余杭·合租,0.58,0.6,0.48,0.55,0.55,0.6,0.65,0.5,0.6
39,胡建平,男,41,外省,上城·老小区,0.55,0.68,0.5,0.58,0.75,0.85,0.4,0.45,0.4
40,邓思琦,女,37,外省,西湖·居住区,0.6,0.55,0.55,0.6,0.65,0.55,0.45,0.4,0.45
41,施永强,男,44,本地,萧山·村改居,0.62,0.52,0.6,0.75,0.7,0.3,0.35,0.35,0.1
42,顾晓怡,女,39,本地,临平·社区,0.58,0.65,0.55,0.72,0.75,0.2,0.25,0.5,0.15
43,范国富,男,51,本地,富阳·乡镇,0.58,0.65,0.52,0.72,0.75,0.3,0.25,0.35,0.1
44,董秀兰,女,48,本地,桐庐·县城,0.6,0.55,0.58,0.75,0.65,0.35,0.2,0.3,0.1
45,沈文博,男,43,本地,西湖·高校周边,0.62,0.6,0.7,0.78,0.85,0.2,0.3,0.65,0.25
46,程婉宁,女,38,外省,滨江·居住区,0.64,0.65,0.75,0.7,0.8,0.3,0.25,0.45,0.4
47,邵启明,男,36,外省,余杭·高端小区,0.6,0.72,0.68,0.65,0.75,0.4,0.7,0.4,0.55
48,金若曦,女,42,本地,上城·居住区,0.63,0.7,0.72,0.68,0.85,0.25,0.8,0.5,0.45
49,罗俊杰,男,31,外省,拱墅·居住区,0.58,0.65,0.55,0.55,0.65,0.45,0.4,0.35,0.5
50,许知夏,女,27,本地,西湖·居住区,0.62,0.6,0.55,0.72,0.8,0.35,0.6,0.65,0.45
51,内田有纪,女,18,外国,商城·青年公寓,0.83,0.8,0.7,0.6,0.6,0.54,0.2,0.75,0.55
52,王思颖,女,28,外省,西湖·高校周边,0.66,0.70,0.60,0.75,0.88,0.12,0.52,0.65,0.30
